col0,col1,col2,col3
Hoch Farm,Canada,86 Queen Street,designated heritage property (part IV)
Dan Johnson Farmstead,United States of America,"Jct. of US 2 and Johnson Ln., Williston, Vermont",place listed on the National Register of Historic Places
Owen Moon Farm,United States of America,Morgan Hill Road,place listed on the National Register of Historic Places
Homer Waldo Farm,United States of America,Waldo Lane,place listed on the National Register of Historic Places
Adams Home Farm,United States of America,15293 Adams Road,place listed on the National Register of Historic Places
Elm Hill Farm,United States of America,Litchfield Road,place listed on the National Register of Historic Places
Henry N. Frentess Farmstead,United States of America,19140 U.S. Route 20 West,place listed on the National Register of Historic Places
Chimney Farm,United States of America,617 East Neck Road,place listed on the National Register of Historic Places
Pettengill House and Farm,United States of America,Pettengill Road,place listed on the National Register of Historic Places
Cold Spring Farm,United States of America,Cold Spring Farm Road,place listed on the National Register of Historic Places
Pettengill House and Farm,United States of America,Pettengill Road,NRHP contributing property
Haystack Farm,United States of America,SR 1480,place listed on the National Register of Historic Places
Beecher H. Duncan Farm,United States of America,26 Shorey Road,place listed on the National Register of Historic Places
Garland Farm,United States of America,475 Bay View Drive,place listed on the National Register of Historic Places
