col0,col1,col2,col3,col4,col5,col6,col7
S Herculis,9.307,4287,252.9746628340301,14.9418760661663,S-type star,2.0975,476.758
DT Piscium,-54.306,3548,18.5204394882221,28.5295746670088,S-type star,3.533,283.0456
HD 150922,-2.678,3600,251.17580180167,-14.0801553547898,variable star,1.5168,659.2827
NQ Pup,-7.367,3399,118.2719614004521,-11.6248202040301,variable star,1.569,637.3486
Y Lyncis,-3.186,3200,112.0483915845595,45.990615351601,variable star,2.9657,337.1885
DT Piscium,-54.306,3548,18.5204394882221,28.5295746670088,variable star,3.533,283.0456
Y Lyncis,-3.186,3200,112.0483915845595,45.990615351601,star,2.9657,337.1885
DT Piscium,-54.306,3548,18.5204394882221,28.5295746670088,star,3.533,283.0456
HD 163896,-2.074,3800,269.9580225663974,-30.3229491118308,S-type star,1.1202,892.6977
MC79 1-106,-8.206,3800,155.2960817476326,-48.2600688893784,S-type star,0.5007,2085.66
MC79 1-103,-2.644,3400,153.7599802307594,-48.7945495587055,S-type star,0.4053,2366.39
WRAY 18-235,-6.97,3600,173.3737797045733,-68.0638776565613,S-type star,0.1146,1983.61
CD-33 5803,-3.426,3800,137.55537917,-34.42835389,S-type star,1.15,1070.77
Hen 4-17,-0.055,3972,101.0113861025247,-34.5153369027449,S-type star,0.2216,2319.14
CD-34 3019,-1.35,3973,99.9427902292546,-34.8712884787368,S-type star,0.5957,1678.6973
