col0,col1,col2,col3
1999 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1999 Japanese Badminton Championships – Men's singles
1998 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1998 Japanese Badminton Championships – Men's singles
1997 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1997 Japanese Badminton Championships – Men's singles
1996 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1996 Japanese Badminton Championships – Men's singles
1993 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1993 Japanese Badminton Championships – Men's singles
1992 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1992 Japanese Badminton Championships – Men's singles
1990 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1990 Japanese Badminton Championships – Men's singles
1988 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1988 Japanese Badminton Championships – Men's singles
1987 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1987 Japanese Badminton Championships – Men's singles
1985 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1985 Japanese Badminton Championships – Men's singles
1986 Japanese Badminton Championships,Japanese Badminton Championships,Japan,1986 Japanese Badminton Championships – Men's singles
