col0,col1,col2,col3
1980 United States Senate election in Alabama,United States of America,1980 United States Senate elections,Jeremiah Denton
2006 United States Senate election in Maryland,United States of America,2006 United States Senate elections,Ben Cardin
2012 United States Senate election in Wyoming,United States of America,2012 United States Senate elections,John Barrasso
1992 United States Senate election in Utah,United States of America,1992 United States Senate elections,Bob Bennett
1940 United States Senate election in Montana,United States of America,1940 United States Senate elections,Burton K. Wheeler
1928 United States Senate election in Montana,United States of America,1928 United States Senate elections,Burton K. Wheeler
1916 United States Senate election in Pennsylvania,United States of America,1916 United States Senate elections,Philander C. Knox
1982 United States Senate election in Pennsylvania,United States of America,1982 United States Senate elections,John Heinz
2018 United States Senate elections,United States of America,2012 United States elections,to be announced
2014 United States Senate election in West Virginia,United States of America,2014 United States Senate elections,to be announced
1994 United States Senate election in Wisconsin,United States of America,1994 United States Senate elections,Herb Kohl
