col0,col1,col2,col3
Torslunda municipality,Färjestaden,Mörbylånga Municipality,1973-12-31
Säffle Town,Säffle,Säffle Municipality,1970-12-31
Söderfors Municipality,Söderfors,Tierp Municipality,1973-12-31
Vendel Municipality,Örbyhus,Tierp Municipality,1973-12-31
Vinslöv municipality,Vinslöv,Hässleholm Municipality,1973-12-31
Tyringe municipality,Tyringe,Hässleholm Municipality,1973-12-31
Vittsjö municipality,Vittsjö,Hässleholm Municipality,1973-12-31
Sösdala municipality,Sösdala,Hässleholm Municipality,1973-12-31
Tjällmo Municipality,Tjällmo,Motala Municipality,1973-12-31
Sävar Municipality,Sävar,Umeå Municipality,1973-12-31
