col0,col1,col2,col3
"Assemblea Provincial e Camara Municipal, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Academia de Direito, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Palacio, Secretaria do Governo e Igreja do Collegio, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Rua Florencio de Abreu, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Rua Direita, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Largo da Sé e Rua do Imperador, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Ladeira e Rua de S. João, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Largo e Rua de S. Bento, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
"Rua de S. Bento, 1887",1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
Cidade.,1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
Cidade.,1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
Cidade.,1887,Comparative Album of the City of São Paulo 1862-1887,Comparative Album of the City of São Paulo 1862-1887
