col0,col1,col2,col3,col4
2MASS J18413407-0504012,280.3919820983671,3.08,Scutum,8.513
2MASS J18393458-0544230,279.8940875,4.14,Scutum,9.556
2MASS J18382716-0710447,279.6133594835735,5.42,Scutum,10.589
2MASS J18255361-1250031,276.4734042,5.82,Scutum,9.281
SSTGLMC G022.5772-00.3912,278.4484744744414,3.16,Scutum,9.36
2MASS J16355116-4719515,248.9632042,4.54,Ara,10.388
2MASS J16345746-4704129,248.7394458,3.71,Ara,10.461
WR 91-1,260.6697542,2.89,Scorpius,10.329
2MASS J14162737-6117562,214.1139671735196,3.45,Centaurus,10.007
[SMG2009] 768-6,176.5277338119996,7.62,Centaurus,17.17
