col0,col1,col2,col3,col4,col5
Kepler-1232b,Cygnus,2016-01-01,23300,J2000.0,49.10231630970222
Kepler-1226b,Cygnus,2016-01-01,25900,J2000.0,50.62147264541277
Kepler-1218b,Cygnus,2016-01-01,16600,J2000.0,44.53171802553472
Kepler-1203b,Cygnus,2016-01-01,13400,J2000.0,44.17808978730722
Kepler-1199b,Cygnus,2016-01-01,14700,J2000.0,47.24700006727195
Kepler-1196b,Cygnus,2016-01-01,24600,J2000.0,43.91080294237806
Kepler-1184b,Cygnus,2016-01-01,33900,J2000.0,46.96598872844278
Kepler-1176b,Cygnus,2016-01-01,25500,J2000.0,45.27416005890944
Kepler-1166b,Cygnus,2016-01-01,28300,J2000.0,50.90283913180111
Kepler-1161b,Cygnus,2016-01-01,27700,J2000.0,45.44063339667722
Kepler-1159b,Cygnus,2016-01-01,25400,J2000.0,45.20430947124001
Kepler-1156b,Cygnus,2016-01-01,18200,J2000.0,46.05762362126889
