col0,col1,col2,col3,col4
Jeseník,Lázně Jeseník,street number,38.232052,Lipová-lázně
Kralupy nad Vltavou,Lobeč,street number,21.900215,Nelahozeves
Jeseník,Lázně Jeseník,street number,38.232052,Mikulovice
Horní Jiřetín,Holtschitz,street number,39.858756,Litvínov
Ořechov,Ořechovičky,street number,19.676555,Hajany
Jeseník,Lázně Jeseník,street number,38.232052,Česká Ves
Kralupy nad Vltavou,Lobeč,street number,21.900215,Veltrusy
Jeseník,Lázně Jeseník,street number,38.232052,Zlaté Hory
Dubá,Rozprechtice (Dubá),street number,60.59789,Ždírec
Mělník,Mlazice,street number,24.961871,Velký Borek
Jihlava,Bedřichov,street number,87.866195,Malý Beranov
