col0,col1,col2,col3
2006 United States Senate election in Wyoming,United States of America,2006 United States Senate elections,Craig L. Thomas
1972 United States Senate election in Rhode Island,United States of America,1972 United States Senate elections,Claiborne Pell
1984 United States Senate election in Rhode Island,United States of America,1984 United States Senate elections,Claiborne Pell
1978 United States Senate election in Rhode Island,United States of America,1978 United States Senate elections,Claiborne Pell
2010 United States Senate election in Wisconsin,United States of America,2010 United States Senate elections,Ron Johnson
1992 United States Senate election in Louisiana,United States of America,1992 United States Senate elections,John Breaux
1972 United States Senate election in New Mexico,United States of America,1972 United States Senate elections,Pete Domenici
1984 United States Senate election in New Mexico,United States of America,1984 United States Senate elections,Pete Domenici
1978 United States Senate election in New Mexico,United States of America,1978 United States Senate elections,Pete Domenici
2008 United States Senate election in New Mexico,United States of America,2008 United States Senate elections,Tom Udall
1964 United States Senate election in New Mexico,United States of America,1964 United States Senate elections,Joseph Montoya
