col0,col1,col2,col3,col4
"Dijkstraat 8, Wijk bij Duurstede",Rijksmonument,Netherlands,building with stepped gable,Wijk bij Duurstede
"Herenstraat 51, Voorburg",Rijksmonument,Netherlands,building with stepped gable,Leidschendam-Voorburg
"Walstraat 86, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Vrouwestraat 43, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Branderijstraat 24, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Branderijstraat 22, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Nieuwstraat 15, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Hellebardierstraat 5, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Groenewoud 78, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
"Beursstraat 2, Vlissingen",Rijksmonument,Netherlands,building with stepped gable,Vlissingen
