col0,col1,col2,col3
Flower still life in a Niche,private collection,floral painting,private collection
The Holy Family and St. Elizabeth and infant John the Baptist by Gerard de Lairesse,private collection,religious art,private collection
Kitchen Interior,private collection,religious art,private collection
The Incredulity of St. Thomas,private collection,religious art,private collection
Killing a Calf before a Cottage,private collection,genre art,private collection
The Knife Grinder and his Family,private collection,genre art,private collection
Pictura,private collection,genre art,private collection
Old man tries to seduce a young woman with money,private collection,genre art,private collection
A Sick Young Lady,private collection,genre art,private collection
Adam and Eve,private collection,genre art,private collection
The Tric-Trac Players,private collection,genre art,private collection
Young Boy with a Shell and a Dog,private collection,genre art,private collection
