col0,col1,col2,col3
Purine ribonucleoside monophosphate biosynthesis,Nucleobase biosynthesis,De novo purine nucleotide biosynthesis,Formation of phosphoribosyl pyrophosphate amidotransferase tetramer
Nucleobase biosynthesis,Metabolism of nucleotides,De novo purine nucleotide biosynthesis,Purine ribonucleoside monophosphate biosynthesis
Mitochondrial Uncoupling Proteins,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Structure of mitochondrial ADP/ATP carrier in complex with carboxyatractyloside,The fatty acid cycling model
Formation of ATP by chemiosmotic coupling,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",A new concept for energy coupling in oxidative phosphorylation based on a molecular explanation of the oxygen exchange reactions,ADP and Pi bind to ATPase
Nucleobase biosynthesis,Metabolism of nucleotides,"Pyrimidine Nucleotide Biosynthesis in Animals: Genes, Enzymes, and Regulation of UMP Biosynthesis",Purine ribonucleoside monophosphate biosynthesis
Glycerophospholipid biosynthesis,Phospholipid metabolism,Non-vesicular lipid transport by lipid-transfer proteins and beyond.,AGK:Mg2+ phosphorylates MAG  DAG
Synthesis of PA,Glycerophospholipid biosynthesis,"Molecular identification of microsomal acyl-CoA:glycerol-3-phosphate acyltransferase, a key enzyme in de novo triacylglycerol synthesis",ALPI dimer hydrolyses phosphate monoesters
Glycerophospholipid biosynthesis,Phospholipid metabolism,"Interactions between the endoplasmic reticulum, mitochondria, plasma membrane and other subcellular organelles.",Synthesis of PA
Triglyceride biosynthesis,Triglyceride metabolism,Biosynthesis of triacylglycerols.,AGMO cleaves alkylglycerol into fatty aldehyde and glycerol
Triglyceride catabolism,Triglyceride metabolism,Hormone-sensitive lipase: control of intracellular tri-(di-)acylglycerol and cholesteryl ester hydrolysis,hormone-sensitive lipase (HSL) + 2 ATP -> phosphorylated HSL + 2 ADP
Glycerophospholipid biosynthesis,Phospholipid metabolism,Making heads or tails of phospholipids in mitochondria,Synthesis of PA
