col0,col1,col2,col3
2039 Wimbledon Championships – Men's Singles,2019/01/01,2020 Wimbledon Championships – Men's Singles,2018 Wimbledon Championships – Men's Singles
2019 Australian Open – Women's Doueles,2019/01/01,2020 Australian Open – Women's Doubles,2018 Australian Open – Women's Doubles
2019 Wimbledon Championships – Mied Doubles,2019/01/01,2020 Wimbledon Championships – Mixed Doubles,2018 Wimbledon Championships – Mixed Doubles
2019 Wimbledon Championshjps – Men's Doubles,2019/01/01,2020 Wimbledon Championships – Men's Doubles,2018 Wimbledon Championships – Men's Doubles
2019 French Open – Woen's Doubles,2019/01/01,2020 French Open – Women's Doubles,2018 French Open – Women's Doubles
2019 Frenh Open – Mixed Doubles,2019/01/01,2020 French Open – Mixed Doubles,2018 French Open – Mixed Doubles
2019Australian Open – Mixed Doubles,2019/01/01,2020 Australian Open – Mixed Doubles,2018 Australian Open – Mixed Doubles
2019 Australin Open – Men's Singles,2019/01/01,2020 Australian Open – Men's Singles,2018 Australian Open – Men's Singles
2019 Australian Open – Men's Singles,2018/01/01,2019 Australian Open – Men's Singles,2017 Australian Open – Men's Singles
2018 Australian Open – Wonen's Singles,2018/01/01,2019 Australian Open – Women's Singles,2017 Australian Open – Women's Singles
2018 Australian Open – Xomen's Doubles,2018/01/01,2019 Australian Open – Women's Doubles,2017 Australian Open – Women's Doubles
2018 US Open – Men's Siqgles,2018/01/01,2019 US Open – Men's Singles,2017 US Open – Men's Singles
