col0,col1,col2,col3
Hästveda municipality,Hästveda,Scania,rural municipality of Sweden and Finland
Hållnäs Municipality,Edvalla,Uppland,former municipality of Sweden
Hästveda municipality,Hästveda,Scania,former municipality of Sweden
Norrfjärdens Rural Municipality,Norrfjärden,Norrbotten,rural municipality of Sweden and Finland
Norra Kinda Municipality,Rimforsa,Östergötland,rural municipality of Sweden and Finland
Njurunda Municipality,Kvissleby,Medelpad,rural municipality of Sweden and Finland
Nederluleå Rural Municipality,Gammelstaden,Norrbotten,rural municipality of Sweden and Finland
Nacka Rural Municipality,Nacka,Södermanland,rural municipality of Sweden and Finland
Målilla rural municipality,Målilla,Småland,rural municipality of Sweden and Finland
Norra Kinda Municipality,Rimforsa,Östergötland,former municipality of Sweden
Njurunda Municipality,Kvissleby,Medelpad,former municipality of Sweden
Mullsjö Rural Municipality,Mullsjö,Västergötland,rural municipality of Sweden and Finland
Matfors Municipality,Matfors,Medelpad,rural municipality of Sweden and Finland
