col0,col1,col2,col3
Chi Virginis c,Maritza Soto,doppler spectroscopy,-77.129
Gliese 667 Cd,High Accuracy Radial Velocity Planet Searcher,doppler spectroscopy,-214.4
Gliese 667 Ce,High Accuracy Radial Velocity Planet Searcher,doppler spectroscopy,-214.4
Gliese 667 Cf,High Accuracy Radial Velocity Planet Searcher,doppler spectroscopy,-214.4
Kepler-424c,Kepler,doppler spectroscopy,1.159
Kepler-20g,Kepler,doppler spectroscopy,-26.959
Kepler-1625 b,Kepler,transit method,-4.799
Kepler-1647 b,Kepler,transit method,-7.245
Kepler-453b,Kepler,transit method,-4.167
Kepler-452b,Kepler,transit method,9.012
Kepler-444f,Kepler,transit method,-632.49
Kepler-440b,Kepler,transit method,15.296
Kepler-436b,Kepler,transit method,1.573
Kepler-441b,Kepler,transit method,6.465
