col0,col1,col2,col3
Planta dos Nucleos do Conchal,1913-03-26,Germano Vert,Moji-Mirim
Planta do Núcleo Campos Sales,1913-05-26,Germano Vert,Campinas
Planta do Nucleo Nova Veneza,1913-03-26,Germano Vert,Campinas
Planta da Cidade de S. Paulo Mostrando Todos Os Arrabaldes e Terrenos Arruados,1924-01-01,Waldomiro Gonçalves,São Paulo
Planta de Divisão do Terreno Pertencente a Herdeiros do Finado João de Abreu Nogueira,1891-09-14,Oscar Friedenreich,São Paulo
Planta da Chácara Denominada Bella Veneza,1894-03-17,José Feliciano Ferreira de Rosa,São Paulo
Planta da Cidade de São Paulo,1907-01-01,Graccho da Gama,São Paulo
Planta da Chácara da Glória - Cambuci,1925-01-21,Luiz Strina,São Paulo
Planta da Villa 7 de Setembro,1921-07-01,J. Oct. Monteiro Camargo,São Paulo
Planta dos Nucleos do Cambuhy,1913-03-26,G. Vertdes,São Paulo
Planta do Terreno Aquem do Rio Tamanduatehi Levantado Por Ordem da Camara,1924-08-27,A. Alexandrino,São Paulo
Planta da Desapropriação Na Av. Rangel Pestana Tendo como A. Câmara Municipal e R. Ana Joaquina de Carvalho Macedo,1848-01-01,A. Alexandrino,São Paulo
