col0,col1,col2,col3,col4,col5,col6
Retraction,Jeremy Berg,English,2016-12-15,The protein LEM promotes CD8⁺ T cell immunity through effects on mitochondrial respiration,scientific article,Retraction
Retraction. MicroRNA expression profiling during the life cycle of the silkworm,Qingyou Xia,English,2011-06-02,Bombyx mori,retraction notice,Retraction. MicroRNA expression profiling during the life cycle of the silkworm (Bombyx mori)
Retraction notice to “Carboxylated calixarenes bind strongly to CD69 and protect CD69+ killer cells from suicidal cell death induced by tumor cell surface ligands” [Bioorg. Med. Chem. 18,Katerina Hofbauerova,English,2014-06-01,molecular biology,retraction notice,Retraction notice to “Carboxylated calixarenes bind strongly to CD69 and protect CD69+ killer cells from suicidal cell death induced by tumor cell surface ligands” [Bioorg. Med. Chem. 18 (4) (2010) 1434–1440]
"Retraction: Heterologous expression, purification and characterization of nitrilase from Aspergillus niger K10",Rudiger Ettrich,English,2013-07-20,"Heterologous expression, purification and characterization of nitrilase from Aspergillus niger K10",retraction notice,"Retraction: Heterologous expression, purification and characterization of nitrilase from Aspergillus niger K10"
"Retraction: Herndon J.M. Evidence of Coal-Fly-Ash Toxic Chemical Geoengineering in the Troposphere: Consequences for Public Health. Int. J. Environ. Res. Public Health 2015, 12, 9375-9390",Paul B Tchounwou,English,2015-09-02,troposphere,retraction notice,"Retraction: Herndon J.M. Evidence of Coal-Fly-Ash Toxic Chemical Geoengineering in the Troposphere: Consequences for Public Health. Int. J. Environ. Res. Public Health 2015, 12, 9375-9390"
Retraction Note: The impact of repeated vaccination on influenza vaccine effectiveness: a systematic review and meta-analysis,Benjamin J. Cowling,English,2018-08-12,The impact of repeated vaccination on influenza vaccine effectiveness: a systematic review and meta-analysis,retraction notice,Retraction Note: The impact of repeated vaccination on influenza vaccine effectiveness: a systematic review and meta-analysis
Retraction and Republication: Primary Prevention of Cardiovascular Disease with a Mediterranean Diet. N Engl J Med 2013;368:1279-90,Jordi Salas-Salvadó,English,2018-06-21,Mediterranean diet,retraction notice,Retraction and Republication: Primary Prevention of Cardiovascular Disease with a Mediterranean Diet. N Engl J Med 2013;368:1279-90
Retraction of “Synthesis of Multivalent Glycoconjugates Containing the Immunoactive LELTE Peptide: Effect of Glycosylation on Cellular Activation and Natural Killing by Human Peripheral Blood Mononuclear Cells”,Olivier Renaudet,English,2014-01-08,glycosylation,retraction notice,Retraction of “Synthesis of Multivalent Glycoconjugates Containing the Immunoactive LELTE Peptide: Effect of Glycosylation on Cellular Activation and Natural Killing by Human Peripheral Blood Mononuclear Cells”
Retraction,Jeremy Berg,English,2016-12-15,The protein LEM promotes CD8⁺ T cell immunity through effects on mitochondrial respiration,retraction notice,Retraction
Retraction: Molecular characterization of Legionella pneumophila-induced interleukin-8 expression in T cells,Naofumi Mukaida,English,2011-06-02,interleukin,retraction notice,Retraction: Molecular characterization of Legionella pneumophila-induced interleukin-8 expression in T cells
"Retraction notice to “Children with asthma and no URTI, more commonly have rhinovirus in their exhaled breath, than in mucous”[J Allergy Clin Immunol 2009;123:S171]",Sacha Stelzer-Braid,English,2011-02-01,breathing,scientific article,"Retraction notice to “Children with asthma and no URTI, more commonly have rhinovirus in their exhaled breath, than in mucous”[J Allergy Clin Immunol 2009;123:S171]"
