col0,col1,col2,col3,col4,col5
1947 Grand Prix des Nations,Parc des Princes,France,Fausto Coppi,Fausto Coppi,1948 Grand Prix des Nations
1946 Grand Prix des Nations,Parc des Princes,France,Fausto Coppi,Fausto Coppi,1947 Grand Prix des Nations
1945 Grand Prix des Nations,Parc des Princes,France,Émile Carrara,Eloi Tassin,1946 Grand Prix des Nations
1936 Grand Prix des Nations,Montrouge,France,Giuseppe Olmo,Antonin Magne,1937 Grand Prix des Nations
1935 Grand Prix des Nations,Montrouge,France,Amédée Fournier,Antonin Magne,1936 Grand Prix des Nations
1934 Grand Prix des Nations,Montrouge,France,Amédée Fournier,Amédée Fournier,1935 Grand Prix des Nations
1933 Grand Prix des Nations,Montrouge,France,Raymond Louviot,Raymond Louviot,1934 Grand Prix des Nations
1944 Grand Prix des Nations,Parc des Princes,France,Louis Thiétard,Émile Carrara,1945 Grand Prix des Nations
1941 Grand Prix des Nations,Marseille,France,Amédée Fournier,Louis Aimar,1942 Grand Prix des Nations
1938 Grand Prix des Nations,Montrouge,France,Amédée Fournier,Amédée Fournier,1941 Grand Prix des Nations
1937 Grand Prix des Nations,Montrouge,France,Erich Bautz,Maurice Archambaud,1938 Grand Prix des Nations
1936 Grand Prix des Nations,Montrouge,France,Luciano Montero,Luciano Montero,1937 Grand Prix des Nations
1961 Grand Prix des Nations,Parc des Princes,France,Jacques Anquetil,Jacques Anquetil,1962 Grand Prix des Nations
