col0,col1,col2,col3,col4,col5
Zianagar Upazila,77217,17199,Bangladesh,23376,39270
Dakshin Sunamganj Upazila,183881,32033,Bangladesh,303.17,92884
Dakshin Surma Upazila,253388,43004,Bangladesh,46373,127073
Dumki Upazila,70655,15542,Bangladesh,92.46,36853
Dharamapasha Upazila,223202,43918,Bangladesh,496.03,111104
Jamalganj Upazila,167260,29935,Bangladesh,338.74,82648
Madhabpur Upazila,319016,62300,Bangladesh,294.27,163134
Bishwamvarpur Upazila,156381,29336,Bangladesh,127.76,78206
Zakiganj Upazila,237137,40548,Bangladesh,287.33,119783
Tahirpur Upazila,215200,37931,Bangladesh,313.7,104645
