col0,col1,col2,col3,col4,col5
Lady and the Tramp,dog,Erdman Penner,United States of America,color,Pound Dogs
The Princess and the Frog,frog,John Lasseter,United States of America,color,Mob Shadows
Beauty and the Beast,provincialism,Howard Ashman,United States of America,color,Wolves
The Princess and the Frog,frog,Monica Lago-Kaytis,United States of America,color,Prince Naveen
Beauty and the Beast,provincialism,Howard Ashman,United States of America,color,Philippe
Lady and the Tramp,dog,Erdman Penner,United States of America,color,Tramp
Beauty and the Beast,provincialism,Howard Ashman,United States of America,color,Gaston
Lady and the Tramp,dog,Erdman Penner,United States of America,color,Scamp
Brother Bear,Inuit,Igor Khait,United States of America,color,Bears
Tarzan,feral child,Christopher Chase,United States of America,color,Ape Family
