col0,col1,col2,col3,col4
1932 Paris–Bourges,France,single-day road race,road bicycle racing,Narcisse Mattuizi
1929 Paris–Bourges,France,single-day road race,road bicycle racing,Léon Le Calvez
1928 Paris–Bourges,France,single-day road race,road bicycle racing,Fernand Bruynooghe
1924 Paris–Bourges,France,single-day road race,road bicycle racing,Marcel Bidot
1923 Paris–Bourges,France,single-day road race,road bicycle racing,Jean Brunier
1932 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Narcisse Mattuizi
1929 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Léon Le Calvez
1928 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Fernand Bruynooghe
1925 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Gaston Deschamps
1924 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Marcel Bidot
1923 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Jean Brunier
1922 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Marcel Godard
1917 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Charles Juseret
1913 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Charles Juseret
1991 Paris–Bourges,France,Paris–Bourges,road bicycle racing,Andrei Tchmil
