col0,col1,col2,col3,col4,col5
Marco granítico 14,Immovable Cultural Heritage of Public Interest,cultural heritage,Peso da Régua e Godim,Peso da Régua,Portugal
Marco granítico 73,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marco granítico 30,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marco granítico 27,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marco granítico 26,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marcos graníticos 28 e 29,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marco granítico 25,Immovable Cultural Heritage of Public Interest,cultural heritage,Poiares e Canelas,Poiares,Portugal
Marco granítico 23,Immovable Cultural Heritage of Public Interest,cultural heritage,Poiares e Canelas,Canelas,Portugal
Marco granítico 24,Immovable Cultural Heritage of Public Interest,cultural heritage,Poiares e Canelas,Poiares,Portugal
Marcos de demarcação da zona de produção de vinhos generosos do Douro,Immovable Cultural Heritage of Public Interest,cultural heritage,Galafura e Covelinhas,Galafura,Portugal
Marco granítico 9,Immovable Cultural Heritage of Public Interest,cultural heritage,Mesão Frio (Santo André),Vila Jusã,Portugal
Marco granítico 4,Immovable Cultural Heritage of Public Interest,cultural heritage,"Vale de Mendiz, Casal de Loivos e Vilarinho de Cotas",Vale de Mendiz,Portugal
