col0,col1,col2,col3
Geestmoor,Geestmoor-Klosterbachtal und Schlattbeeke,Germany,2009-01-01
Geestmoor-Klosterbachtal,Geestmoor-Klosterbachtal und Schlattbeeke,Germany,2018-01-03
Eispohl/Sandwehen,"Eispohl, Sandwehen und Heideweiher",Germany,2014-01-01
Oderwiesen nördlich Frankfurt,Odertal Frankfurt-Lebus mit Pontischen Hängen,Germany,2018-11-16
Eichwald und Buschmühle,Eichwald mit Tzschetzschnower Schweiz und Steiler Wand,Germany,2018-11-06
Kellerberg,Eichen- und Buchenwälder in der Göhrde,Germany,2019-02-21
Wälder am Jagdschloß Göhrde,Eichen- und Buchenwälder in der Göhrde,Germany,2019-02-21
Allwördener Außendeich/ Brammersand,Elbe und Inseln,Germany,2018-12-21
Wildvogelreservat Nordkehdingen,Elbe und Inseln,Germany,2018-12-21
Allerauenwald im Drömling,Südlicher Drömling,Germany,2018-07-25
Willes Heide,Kehdinger Moore,Germany,2017-02-17
Wunstorfer Moor,Totes Moor,Germany,2016-01-01
Stapeler Moor,Stapeler Moor und Umgebung,Germany,2016-01-01
