col0,col1,col2,col3
1993 Masters Tournament,United States of America,1994 Masters Tournament,Masters Tournament
1976 Masters Tournament,United States of America,1977 Masters Tournament,Masters Tournament
2005 Masters Tournament,United States of America,2006 Masters Tournament,Masters Tournament
2003 Masters Tournament,United States of America,2004 Masters Tournament,Masters Tournament
2002 Masters Tournament,United States of America,2003 Masters Tournament,Masters Tournament
2001 Masters Tournament,United States of America,2002 Masters Tournament,Masters Tournament
2000 Masters Tournament,United States of America,2001 Masters Tournament,Masters Tournament
1999 Masters Tournament,United States of America,2000 Masters Tournament,Masters Tournament
1998 Masters Tournament,United States of America,1999 Masters Tournament,Masters Tournament
1997 Masters Tournament,United States of America,1998 Masters Tournament,Masters Tournament
1996 Masters Tournament,United States of America,1997 Masters Tournament,Masters Tournament
