col0,col1,col2,col3
Afar Wikipedia,Wikimedia Foundation,Afar,closed wiki
North Frisian Wikipedia,Wikimedia Foundation,North Frisian,multi-languoid Wikimedia site
Goan Konkani Wikipedia,Wikimedia Foundation,Goan Konkani,multi-script Wikimedia site
Hakka Wikipedia,Wikimedia Foundation,Hakka,multi-script Wikimedia site
Gan Chinese Wikipedia,Wikimedia Foundation,Gan,Chinese conversion
Goan Konkani Wikipedia,Wikimedia Foundation,Goan Konkani,Wikipedia language edition
Northern Luri Wikipedia,Wikimedia Foundation,Northern Luri,Wikipedia language edition
Maithili Wikipedia,Wikimedia Foundation,Maithili,Wikipedia language edition
Tuvinian Wikipedia,Wikimedia Foundation,Tuvan,Wikipedia language edition
Palatinate German Wikipedia,Wikimedia Foundation,Palatinate German,Wikipedia language edition
Kabardian Wikipedia,Wikimedia Foundation,Kabardian,Wikipedia language edition
