col0,col1,col2,col3
1973 All England Badminton Championships,1974 All England Badminton Championships,London,Wembley Arena
1972 All England Badminton Championships,1973 All England Badminton Championships,London,Wembley Arena
1971 All England Badminton Championships,1972 All England Badminton Championships,London,Wembley Arena
1970 All England Badminton Championships,1971 All England Badminton Championships,London,Wembley Arena
1966 All England Badminton Championships,1967 All England Badminton Championships,London,Wembley Arena
1965 All England Badminton Championships,1966 All England Badminton Championships,London,Wembley Arena
1964 All England Badminton Championships,1965 All England Badminton Championships,London,Wembley Arena
1963 All England Badminton Championships,1964 All England Badminton Championships,London,Wembley Arena
1962 All England Badminton Championships,1963 All England Badminton Championships,London,Wembley Arena
1961 All England Badminton Championships,1962 All England Badminton Championships,London,Wembley Arena
1960 All England Badminton Championships,1961 All England Badminton Championships,London,Wembley Arena
1959 All England Badminton Championships,1960 All England Badminton Championships,London,Wembley Arena
