col0,col1,col2,col3
Japan National Route 499,Japan National Route 324,Kagoshima Prefecture,Nagasaki Prefectural Road Route 34
Japan National Route 57,Japan National Route 10,"Ministry of Land, Infrastructure, Transport and Tourism",Japan National Route 389
Japan National Route 436,roadside station in Japan,Hyōgo Prefecture,Japan National Route 30
Japan National Route 57,Japan National Route 10,"Ministry of Land, Infrastructure, Transport and Tourism",Japan National Route 442
Japan National Route 350,Japan National Route 113,Niigata Prefecture,Japan National Route 345
Japan National Route 57,Japan National Route 10,"Ministry of Land, Infrastructure, Transport and Tourism",Japan National Route 210
Japan National Route 436,roadside station in Japan,Hyōgo Prefecture,Japan National Route 11
Japan National Route 350,Japan National Route 116,Niigata Prefecture,Japan National Route 7
Japan National Route 317,Japan National Route 11,Ehime Prefecture,Ehime Prefectural Road Route 38
Japan National Route 197,Japan National Route 56,"Ministry of Land, Infrastructure, Transport and Tourism",Japan National Route 56
