col0,col1,col2,col3
Tiburon,astronomical object from the Star Trek multiverse,Star Trek multiverse,The Worlds of the Federation
Cait,astronomical object from the Star Trek multiverse,Star Trek multiverse,The Worlds of the Federation
Berengaria Ⅶ,astronomical object from the Star Trek multiverse,Star Trek multiverse,The Worlds of the Federation
Cordian,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek: Star Charts
Valakis,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek: Star Charts
Rigel V,astronomical object from the Star Trek multiverse,Star Trek multiverse,The Worlds of the Federation
Delta IV,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek: Star Charts
Neural,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek: Star Charts
Ardana,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek Fact Files
Sherman's Planet,astronomical object from the Star Trek multiverse,Star Trek multiverse,Star Trek: Star Charts
