col0,col1,col2,col3
Eurovision Young Musicians 1982,English,festival edition,Eurovision Young Musicians
Eurovision Young Dancers 2013,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1989,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1991,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1993,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1995,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1997,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 2011,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 2001,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 2005,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 2003,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1999,English,festival edition,Eurovision Young Dancers
Eurovision Young Dancers 1987,English,festival edition,Eurovision Young Dancers
Eurovision Dance Contest 2007,English,dance festival,Eurovision Dance Contest
