col0,col1,col2,col3
Fedra,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Bianca e Falliero,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
La traviata,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Semiramide,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Giovanna de Guzman,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Sordello,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Leila di Granata,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Marco Visconti,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Il convito di Baldassarre,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
"Luigi V, re di Francia","Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
Luisa Miller,"Orchestra of the Teatro alla Scala, Milan",season premiere at La Scala,La Scala
