col0,col1,col2,col3
Rote Wand NNE von Kleinziegenfeld,Weismain,Naturdenkmal in Germany,rock
Felsturm Blumenvase NE von Wallersberg,Weismain,Naturdenkmal in Germany,rock
Hohe Wand NE von Wallersberg,Weismain,Naturdenkmal in Germany,rock
Losauer Felsen NW von Losau,Rugendorf,Naturdenkmal in Germany,rock
Suttenstein E von Wallersberg,Weismain,Naturdenkmal in Germany,rock
Beutelstein SW von Oberbessenbach,Bessenbach,Naturdenkmal in Germany,rock
Torfelsen am Weißensee W von Füssen,Füssen,Naturdenkmal in Germany,rock
Felsen am Wedlbuck bei Harburg,Harburg,Naturdenkmal in Germany,rock
Uhufelsen ENE von Serkendorf,Bad Staffelstein,Naturdenkmal in Germany,rock
Felsen mit Halbhöhle Botzenkapelle SE von Serkendorf,Bad Staffelstein,Naturdenkmal in Germany,rock
