col0,col1,col2,col3,col4
Mary Norris: The nit-picking glory of The New Yorker's Comma Queen,TED talk,TED2016,educational film,2016-01-01
Shonda Rhimes: My year of saying yes to everything,TED talk,TED conferences,educational film,2016-02-19
"TED staff: It's TED, the Musical",TED talk,TED conferences,educational film,2014-04-01
Sheena Iyengar: How to make choosing easier,TED talk,TED conferences,educational film,2011-11-09
Nancy Etcoff: Happiness and its surprises,TED talk,TED2004,educational film,2004-02-02
Felix Dennis: Odes to vice and consequences,TED talk,TED2004,educational film,2004-02-27
Michael Merzenich: Growing evidence of brain plasticity,TED talk,TED2004,educational film,2004-02-28
Richard Pyle: A dive into the reef's Twilight Zone,TED talk,TED2004,educational film,2004-02-02
Woody Norris: Hypersonic sound and other inventions,TED talk,TED2004,educational film,2004-02-02
Joseph Pine: What consumers want,TED talk,TED2004,educational film,2004-02-29
Paul Moller: My dream of a flying car,TED talk,TED2004,educational film,2004-02-02
Steven Strogatz: The science of sync,TED talk,TED2004,educational film,2004-02-02
David Holt: The joyful tradition of mountain music,TED talk,TED2004,educational film,2004-03-01
Stewart Brand: The Long Now,TED talk,TED2004,educational film,2004-02-02
