col0,col1,col2,col3
2015 Rogers Cup,2014 Rogers Cup,tennis,2015 Rogers Cup (men)
1982 Player's Canadian Open,1981 Player's Canadian Open,tennis,1982 Player's Canadian Open - women's tournament
1994 Canadian Open,1993 Canadian Open,tennis,1994 Canadian Open - women
2014 Rogers Cup,2013 Rogers Cup,tennis,2014 Rogers Cup (men)
2008 Rogers Cup,2007 Rogers Cup,tennis,2008 Rogers Masters (men)
2009 Rogers Cup,2008 Rogers Cup,tennis,2009 Rogers Masters (men)
2003 Rogers AT&T Cup,2002 Canada Masters and the Rogers AT&T Cup,tennis,2003 Canada Masters
1997 du Maurier Open,1996 du Maurier Open,tennis,1997 du Maurier Open – Women's Doubles
1996 du Maurier Open,1995 Canadian Open,tennis,1996 du Maurier Open – Women's Doubles
1988 Player's Canadian Open,1987 Player's Canadian Open,tennis,1988 Player's Canadian Open – Women's Doubles
2005 Rogers Cup,2004 Rogers Cup (men),tennis,2005 Rogers Masters – Singles
2011 Rogers Cup,2010 Rogers Cup,tennis,2011 Rogers Cup (women)
2009 Rogers Cup,2008 Rogers Cup,tennis,2009 Rogers Cup (women)
2008 Rogers Cup,2007 Rogers Cup,tennis,2008 Rogers Cup (women)
2011 Rogers Cup,2010 Rogers Cup,tennis,2011 Rogers Cup (men)
