col0,col1,col2,col3
Church and Santa Casa da Misericórdia,Roman Catholic Archdiocese of São Salvador da Bahia,Heritage of Portuguese Influence,Salvador
Museo Episcopal de Vic,Roman Catholic Diocese of Vic,Cultural Asset of Local Interest,Vic
Keuruu Old Church,Diocese of Lapua,church-protected building,Keuruu
"Sts. Theodore Tyron & Theodore Stratelates, Dobarsko",Diocese of Nevrokop,monument,Dobarsko
Sankt Ibbs nya kyrka,Diocese of Lund,ecclesiastical listed building complex,Landskrona Municipality
Mission San Juan Bautista,Diocese of Monterey,California Historical Landmark,San Juan Bautista
Iglesia museo de San Antolín de Tordesillas,Roman Catholic Archdiocese of Valladolid,Bien de Interés Cultural,Tordesillas
"Church of Santo Tomé, Zamora",Roman Catholic Diocese of Zamora in Spain,Bien de Interés Cultural,Zamora
Monasterio de Santa Clara la Real,Roman Catholic Diocese of Cartagena,Bien de Interés Cultural,Murcia
convento di San Francesco a Folloni,Roman Catholic Archdiocese of Sant'Angelo dei Lombardi-Conza-Nusco-Bisaccia,national monument of Italy,Montella
Musée Le Secq des Tournelles,Roman Catholic Archdiocese of Rouen,monument historique classé,Rouen
Norton Priory,Diocese of Lichfield,scheduled monument,Runcorn
New Cathedral of Coimbra,Roman Catholic Diocese of Coimbra,National Monument of Portugal,"Coimbra (Sé Nova, Santa Cruz, Almedina e São Bartolomeu)"
St. George's Convent,Roman Catholic Archdiocese of Prague,part of national heritage site in the Czech Republic,Prague 1
